,ISBN,條碼號
1059,9574760901,2
1060,9574761363,2
1061,957476155X,1
1062,9574762394,1
1063,9574762513,2
1064,9574762912,1
1065,9574763021,2
1066,9574763153,3
1067,957476348X,1
1068,9574763501,5
1069,9574763560,2
1070,9574763579,3
1071,9574763587,2
1072,9574763617,2
1073,9574763889,1
1074,9574764001,2
1075,9574764052,1
1076,9574764141,2
1077,9574770656,1
1078,9574772284,1
1079,957478116X,1
1080,957480142X,1
1081,9574802086,1
1082,9574802604,1
1083,957480982X,2
1084,9574810100,1
1085,9574810127,1
1086,9574810143,1
1087,957481016X,1
1088,9574810186,1
1089,9574810208,1
1090,9574810267,1
1091,9574810283,1
1092,9574810305,1
1093,9574810321,1
1094,9574810348,1
1095,9574810364,1
1096,9574810380,1
1097,9574810402,1
1098,9574810429,1
1099,9574810445,1
1100,9574810488,1
1101,9574810526,1
1102,9574810542,1
1103,9574810569,1
1104,9574810585,1
1105,9574810607,1
1106,9574810615,1
1107,9574811158,1
1108,9574811174,1
1109,9574811190,1
1110,9574811212,1
1111,9574811239,1
1112,9574811255,1
1113,957481131X,7
1114,9574811697,1
1115,9574811719,1
1116,9574811751,1
1117,9574811778,1
1118,9574811794,1
1119,9574811913,2
1120,957481193X,1
1121,9574811956,1
1122,9574812375,1
1123,9574900126,1
1124,9574900169,1
1125,957490041X,1
1126,9574900428,1
1127,957490069X,1
1128,9574900916,1
1129,9574900932,1
1130,9574900940,1
1131,9574901033,1
1132,9574901084,1
1133,9574901181,1
1134,957490153X,1
1135,9574901661,1
1136,9574901858,1
1137,9574901890,1
1138,9574921751,1
1139,9574921948,1
1140,9574922456,1
1141,9574923096,1
1142,9574923312,1
1143,9574923517,3
1144,9574923797,3
1145,9574923800,3
1146,9574923975,3
1147,9574924017,1
1148,9574924556,1
1149,9574924610,1
1150,9574924629,1
1151,9574924645,1
1152,9574924653,1
1153,9574924661,1
1154,9574924688,1
1155,9574924769,2
1156,9574924807,1
1157,9574924831,1
